Exposure,Outcome,Confidence_Sum,Confidence_Mean,Confidence_Direction,Direction
4180169,443432,1.63,1.63,1.63,Increase
4180169,443784,4.17,4.17,4.17,Increase
4181165,81902,6.0,6.0,6.0,Increase
4183729,4306703,2.0,2.0,2.0,Decrease
4184633,4306703,4.61,4.61,4.61,Increase
4185284,4084390,2.93,2.93,2.93,Decrease
4185607,4310996,6.0,6.0,6.0,Increase
4192115,4232457,6.84,6.84,6.84,Increase
4192115,4310996,6.0,6.0,6.0,Increase
4194238,4178903,2.0,2.0,2.0,Decrease
4194238,4192115,1.0,1.0,1.0,Decrease
4194238,4217691,2.0,2.0,2.0,Decrease
4196427,4310996,6.84,6.84,6.84,Decrease
4199549,4306655,6.0,6.0,6.0,Decrease
4199549,4310996,8.68,4.34,0.0,Increase
4200516,3654822,5.53,5.53,5.53,Increase
4200516,37110522,5.53,5.53,5.53,Increase
4200516,4009409,6.0,6.0,6.0,Increase
4200516,4275208,2.0,2.0,2.0,Increase
4200516,434633,2.72,2.72,2.72,Increase
4200516,44784217,6.0,6.0,6.0,Increase
4201029,316866,2.68,2.68,2.68,Decrease
4201029,4029305,10.8,5.4,10.8,Decrease
4201029,4159131,4.61,4.61,4.61,Decrease
4201029,4180169,3.44,3.44,3.44,Decrease
4201029,4231363,2.68,2.68,2.68,Decrease
4201029,4306703,1.4,1.4,1.4,Decrease
4201029,4310996,13.84,4.613333333333333,13.84,Decrease
4201029,4329847,2.86,2.86,2.86,Decrease
4201412,440424,6.84,6.84,6.84,Decrease
4201926,4310996,6.84,6.84,6.84,Decrease
4213628,4310996,6.84,6.84,6.84,Increase
4216292,4310996,6.68,6.68,6.68,Increase
4217691,3655005,6.84,6.84,6.84,Increase
4217691,4070767,6.84,6.84,6.84,Increase
4217691,4232457,6.13,6.13,6.13,Increase
4217691,4310996,13.77,4.59,13.77,Increase
4224118,4181165,0.51,0.51,0.51,Increase
4224118,81902,2.68,2.68,2.68,Increase
4229563,4329728,6.84,6.84,6.84,Decrease
4229881,35622016,3.44,3.44,3.44,Decrease
4229881,4038718,2.68,2.68,2.68,Decrease
4229881,4130526,3.44,3.44,3.44,Decrease
4231363,4310996,10.61,5.305,10.61,Increase
4232457,4310996,6.0,6.0,6.0,Increase
